算法类型,题目数量,占比(%)
贪心算法,62,10.5
数学计算,56,9.5
字符串处理,53,9.0
数组操作,50,8.5
模拟算法,37,6.3
动态规划,35,5.9
树结构,25,4.2
图论算法,30,5.1
搜索算法,30,5.1
栈队列,15,2.5
双指针技术,15,2.5
分治算法,10,1.7
哈希表,20,3.4
堆与优先队列,10,1.7
并查集,8,1.4
回溯算法,12,2.0
滑动窗口,18,3.1
二分搜索,8,1.4
位运算,5,0.8
数论,6,1.0
